dia,Tot_casos,Nov_casos
0,1,0
1,1,0
2,1,0
3,2,1
4,2,0
5,2,0
6,2,0
7,2,0
8,3,1
9,6,3
10,10,4
11,13,3
12,16,3
13,16,0
14,19,3
15,30,11
16,46,16
17,56,10
18,65,9
19,136,71
20,152,16
21,164,12
22,241,77
23,286,45
24,396,110
25,459,63
26,631,172
27,745,114
28,810,65
29,862,52
30,1053,191
31,1223,170
32,1406,183
33,1451,45
34,1517,66
35,2339,822
36,2981,642
37,3506,525
38,4048,542
39,4466,418
40,4620,154
41,4866,246
42,5682,816
43,6708,1026
44,7480,772
45,8216,736
46,8419,203
47,8755,336
48,8895,140
49,9371,476
50,11043,1672
51,11568,525
52,12841,1273
53,13894,1053
54,14267,373
55,14580,313
56,15385,805
57,15914,529
58,16740,826
59,17826,1086
60,20004,2178
61,20715,711
62,21696,981
63,24041,2345
64,26158,2117
65,28698,2540
66,30374,1676
67,31174,800
68,31772,598
69,32187,415
70,34053,1866
71,37853,3800
72,39928,2075
73,41830,1902
74,44411,2581
75,45444,1033
76,46131,687
77,47719,1588
78,51097,3378
79,54286,3189
80,58378,4092
81,61183,2805
82,62345,1162
83,63066,721
84,65995,2929
85,69859,3864
86,73739,3880
87,76871,3132
88,80558,3687
89,82161,1603
90,83625,1464
91,86017,2392
92,89483,3466
93,95865,6382
94,101556,5691
95,107142,5586
96,109698,2556
97,111296,1598
98,118295,6999
99,123483,5188
100,129200,5717
101,134565,5365
102,140549,5984
103,143073,2524
104,144593,1520
105,150138,5545
106,156316,6178
107,162520,6204
108,167900,5380
109,172875,4975
110,178202,5327
111,181460,3258
112,190285,8825
113,191517,1232
114,192628,1111
115,211658,19030
116,215793,4135
117,219185,3392
118,221973,2788
119,229475,7502
120,238822,9347
121,248587,9765
122,258508,9921
123,265581,7073
124,271737,6156
125,275145,3408
126,281380,6235
127,289935,8555
128,302179,12244
129,310702,8523
130,312530,1828
131,320179,7649
132,323070,2891
133,332708,9638
134,341365,8657
135,349715,8350
136,359110,9395
137,366890,7780
138,371997,5107
139,374607,2610
140,386607,12000
141,393176,6569
142,402048,8872
143,407415,5367
144,412027,4612
145,415049,3022
146,416434,1385
147,422669,6235
148,439446,16777
149,452007,12561
150,463218,11211
151,479481,16263
152,483982,4501
153,487654,3672
154,500301,12647
155,514197,13896
156,529006,14809
157,542304,13298
158,552318,10014
159,558685,6367
160,560218,1533
161,575589,15371
162,585265,9676
163,598670,13405
164,608379,9709
165,621731,13352
