dia, leitos_disp_UTI_por_dia, leitos_disp_LG_por_dia
0,5185,11022
1,5185,11022
2,5185,11022
3,5185,11022
4,5185,11022
5,5185,11022
6,5185,11022
7,5185,11022
8,5185,11022
9,5185,11022
10,5185,11022
11,5185,11022
12,5185,11022
13,5185,11022
14,5185,11022
15,5185,11022
16,5185,11021
17,5184,11021
18,5184,11021
19,5184,11015
20,5184,11015
21,5183,11014
22,5183,11008
23,5182,11006
24,5182,10998
25,5181,10994
26,5180,10980
27,5178,10976
28,5177,10973
29,5176,10971
30,5176,10960
31,5173,10951
32,5172,10943
33,5168,10947
34,5168,10954
35,5169,10889
36,5160,10846
37,5151,10813
38,5146,10784
39,5140,10766
40,5139,10768
41,5137,10753
42,5128,10699
43,5122,10670
44,5112,10654
45,5104,10635
46,5099,10662
47,5102,10661
48,5099,10664
49,5091,10647
50,5084,10570
51,5077,10614
52,5079,10563
53,5076,10533
54,5069,10532
55,5072,10530
56,5066,10478
57,5046,10495
58,5062,10536
59,5056,10502
60,5055,10411
61,5046,10436
62,5041,10385
63,5028,10218
64,5006,10113
65,4984,9970
66,4971,9914
67,4945,9961
68,4967,10055
69,4969,10079
70,4953,10002
71,4938,9848
72,4899,9857
73,4891,9879
74,4889,9784
75,4874,9797
76,4889,9794
77,4873,9716
78,4844,9607
79,4851,9617
80,4841,9456
81,4816,9407
82,4820,9496
83,4820,9517
84,4808,9326
85,4759,9165
86,4738,9129
87,4727,9139
88,4730,9123
89,4728,9218
90,4744,9190
91,4714,9076
92,4684,9018
93,4662,8786
94,4636,8639
95,4601,8470
96,4608,8558
97,4613,8563
98,4597,8078
99,4513,7903
100,4453,7761
101,4440,7806
102,4424,7746
103,4426,7964
104,4451,8033
105,4390,7744
106,4364,7727
107,4314,7634
108,4287,7673
109,4291,7719
110,4339,7721
111,4353,7677
112,4299,7100
113,4209,7543
114,4275,7922
115,4331,6717
116,4183,6979
117,4193,7124
118,4247,7270
119,4180,6935
120,4198,6749
121,4156,6144
122,3909,5729
123,4038,6353
124,4027,6210
125,4020,6255
126,3988,6018
127,3933,5947
128,3931,5594
129,3803,5635
130,3751,6405
131,3959,6250
132,3950,6492
133,3923,5961
134,3818,5827
135,3762,5898
136,3817,6033
137,3898,6048
138,3855,5954
139,3932,6297
140,3896,5573
141,3808,5821
142,3808,5773
143,3792,6099
144,3890,6446
145,3965,6731
146,3980,7035
147,3944,6813
148,3968,6236
149,3860,5876
150,3855,5666
151,3831,4809
152,3771,4971
153,3827,4936
154,3788,4039
155,3552,3624
156,3579,3598
157,3500,3501
158,3391,3621
159,3473,4154
160,3462,4410
