(S) Susceptiveis, (E) Expostos, (I) Infectados, (R) Recuperados, (D_E) Expostos detectados, (D_I) Infectados detectados, (M) Mortes
21038443,215,1830,121,0,0,88
21038167,429,1749,265,0,0,88
21037899,597,1709,404,0,0,88
21037635,733,1700,542,0,0,88
21037371,845,1714,680,0,0,88
21037103,941,1747,819,0,0,88
21036828,1026,1794,962,0,0,88
21036546,1104,1851,1109,0,0,88
21036254,1176,1919,1261,0,0,88
21035951,1246,1994,1419,0,0,88
21035635,1315,2076,1583,0,0,88
21035307,1384,2165,1754,0,0,88
21034964,1454,2259,1933,0,0,88
21034606,1525,2359,2119,0,0,88
21034233,1598,2465,2314,0,0,88
21033842,1674,2577,2517,0,0,88
21033434,1753,2693,2730,0,0,88
21033007,1835,2816,2953,0,0,88
21032560,1920,2944,3185,0,0,88
21032094,2009,3079,3428,0,0,88
21031606,2101,3220,3682,0,0,88
21031096,2198,3368,3948,0,0,88
21030562,2299,3523,4226,0,0,88
21030004,2405,3684,4517,0,0,88
21029420,2516,3853,4821,0,0,88
21028809,2632,4030,5139,0,0,88
21028170,2753,4215,5472,0,0,88
21027502,2879,4408,5820,0,0,88
21026804,3011,4611,6184,0,0,88
21026074,3149,4823,6565,0,0,88
21025310,3293,5044,6963,0,0,88
21024511,3444,5276,7379,0,0,88
21023675,3602,5518,7815,0,0,88
21022800,3769,5771,8270,0,0,88
21021885,3943,6034,8747,0,0,88
21020929,4126,6310,9246,0,0,88
21019928,4316,6599,9767,0,0,88
21018882,4514,6901,10312,0,0,88
21017789,4721,7218,10882,0,0,88
21016646,4936,7550,11478,0,0,88
21015450,5160,7898,12102,0,0,88
21014200,5395,8262,12753,0,0,88
21012893,5639,8643,13435,0,0,88
21011526,5895,9041,14148,0,0,88
21010096,6164,9457,14893,0,0,88
21008600,6446,9891,15674,0,0,88
21007034,6742,10344,16490,0,0,88
21005396,7055,10814,17344,0,0,88
21003683,7384,11305,18238,0,0,88
21001891,7727,11819,19172,0,0,88
21000019,8084,12358,20149,0,0,88
20998061,8454,12924,21171,0,0,88
20996016,8838,13518,22238,0,0,88
20993878,9237,14141,23354,0,0,88
20991643,9653,14794,24520,0,0,88
20989306,10087,15477,25740,0,0,88
20986862,10541,16191,27015,0,0,88
20984306,11020,16934,28350,0,0,88
20981630,11526,17707,29747,0,0,88
20978829,12063,18508,31210,0,0,88
20975899,12628,19343,32740,0,0,88
20972836,13217,20217,34340,0,0,88
20969635,13828,21134,36012,0,0,88
20966292,14460,22099,37760,0,0,88
20962799,15113,23113,39585,0,0,88
20959150,15789,24179,41492,0,0,88
20955337,16491,25297,43486,0,0,88
20951351,17222,26467,45570,0,0,88
20947182,17990,27688,47750,0,0,88
20942822,18800,28958,50031,0,0,88
20938258,19661,30273,52419,0,0,88
20933480,20577,31634,54919,0,0,88
20928482,21541,33051,57535,0,0,88
20923260,22545,34536,60269,0,0,88
20917806,23583,36095,63125,0,0,88
20912111,24653,37737,66109,0,0,88
20906165,25757,39464,69225,0,0,88
20899954,26897,41280,72480,0,0,88
20893467,28080,43183,75881,0,0,88
20886687,29315,45171,79437,0,0,88
20879597,30615,47241,83156,0,0,88
20872180,31996,49385,87049,0,0,88
20864417,33468,51601,91125,0,0,88
20856300,35017,53905,95388,0,0,88
20847821,36631,56315,99843,0,0,88
20838967,38303,58843,104497,0,0,88
20829724,40030,61499,109358,0,0,88
20820075,41813,64289,114434,0,0,88
20810002,43657,67215,119736,0,0,88
20799483,45573,70279,125275,0,0,88
20788495,47574,73477,131065,0,0,88
20777012,49679,76801,137118,0,0,88
