(I) Infectados, (D_all) Detectados, (E) Expostos
1830,0,215
1749,0,429
1709,0,597
1700,0,733
1714,0,845
1747,0,941
1794,0,1026
1851,0,1104
1919,0,1176
1994,0,1246
2076,0,1315
2165,0,1384
2259,0,1454
2359,0,1525
2465,0,1598
2577,0,1674
2693,0,1753
2816,0,1835
2944,0,1920
3079,0,2009
3220,0,2101
3368,0,2198
3523,0,2299
3684,0,2405
3853,0,2516
4030,0,2632
4215,0,2753
4408,0,2879
4611,0,3011
4823,0,3149
5044,0,3293
5276,0,3444
5518,0,3602
5771,0,3769
6034,0,3943
6310,0,4126
6599,0,4316
6901,0,4514
7218,0,4721
7550,0,4936
7898,0,5160
8262,0,5395
8643,0,5639
9041,0,5895
9457,0,6164
9891,0,6446
10344,0,6742
10814,0,7055
11305,0,7384
11819,0,7727
12358,0,8084
12924,0,8454
13518,0,8838
14141,0,9237
14794,0,9653
15477,0,10087
16191,0,10541
16934,0,11020
17707,0,11526
18508,0,12063
19343,0,12628
20217,0,13217
21134,0,13828
22099,0,14460
23113,0,15113
24179,0,15789
25297,0,16491
26467,0,17222
27688,0,17990
28958,0,18800
30273,0,19661
31634,0,20577
33051,0,21541
34536,0,22545
36095,0,23583
37737,0,24653
39464,0,25757
41280,0,26897
43183,0,28080
45171,0,29315
47241,0,30615
49385,0,31996
51601,0,33468
53905,0,35017
56315,0,36631
58843,0,38303
61499,0,40030
64289,0,41813
67215,0,43657
70279,0,45573
73477,0,47574
76801,0,49679
80244,0,51909
83816,0,54264
87541,0,56724
91437,0,59280
95519,0,61927
99796,0,64664
104276,0,67497
108962,0,70436
113853,0,73494
118946,0,76692
124232,0,80054
129708,0,83602
135400,0,87319
141335,0,91187
147540,0,95191
154032,0,99328
160825,0,103599
167927,0,108011
175341,0,112582
183063,0,117332
191086,0,122292
199396,0,127498
207977,0,132990
216859,0,138752
226099,0,144735
235744,0,150904
245829,0,157238
256376,0,163732
267397,0,170393
278889,0,177246
290840,0,184328
303224,0,191691
316005,0,199402
329135,0,207542
342623,0,216115
356578,0,225016
371091,0,234154
386228,0,243469
402029,0,252934
418509,0,262549
435656,0,272345
453430,0,282384
471769,0,292758
490583,0,303588
509762,0,315017
529378,0,326967
549595,0,339249
570524,0,351742
592233,0,364367
614754,0,377088
638077,0,389916
662151,0,402904
686889,0,416150
712160,0,429794
737800,0,444020
763838,0,458770
790467,0,473793
817801,0,488931
845907,0,504079
874801,0,519181
904449,0,534237
934769,0,549295
965630,0,564458
996853,0,579881
1028224,0,595748
1059798,0,611925
1091766,0,628125
1124240,0,644144
1157274,0,659844
1190854,0,675156
1224901,0,690078
1259276,0,704675
1293772,0,719082
1328119,0,733497
1362029,0,748137
1395619,0,762752
1429102,0,776991
1462599,0,790608
1496149,0,803446
1529712,0,815431
1563166,0,826576
1596312,0,836983
1628867,0,846839
1660470,0,856416
1690797,0,865944
1720109,0,875015
1748614,0,883299
1776414,0,890579
1803535,0,896729
1829920,0,901711
1855433,0,905577
1879855,0,908469
1902891,0,910616
1924161,0,912338
1943509,0,913725
1961287,0,914346
1977646,0,914003
1992670,0,912570
2006383,0,909993
2018744,0,906291
2029650,0,901551
2038935,0,895934
2046369,0,889671
2051667,0,883061
2054916,0,876023
2056398,0,868306
2056242,0,859826
2054537,0,850538
2051335,0,840444
2046650,0,829585
2040457,0,818046
2032693,0,805954
2023258,0,793478
2012012,0,780830
1999026,0,768021
1984584,0,754863
1968774,0,741363
1951678,0,727537
1933367,0,713411
1913902,0,699019
1893336,0,684403
1871712,0,669616
1849065,0,654720
1825419,0,639784
1800790,0,624887
1775276,0,610034
1749141,0,595072
1722362,0,580107
1694920,0,565241
1666817,0,550551
1638082,0,536090
1608770,0,521885
1578958,0,507941
1548748,0,494235
1518269,0,480721
1487672,0,467330
1457136,0,453965
1426795,0,440564
1396522,0,427297
1366238,0,414281
1335907,0,401592
1305521,0,389279
1275107,0,377360
1244719,0,365825
1214444,0,354633
1184398,0,343714
1154731,0,332969
1125614,0,322275
1096995,0,311702
1068752,0,301374
1040832,0,291353
1013207,0,281678
985871,0,272366
958845,0,263412
932169,0,254791
905911,0,246454
880159,0,238330
855026,0,230329
830569,0,222405
806653,0,214674
783219,0,207185
760228,0,199968
737658,0,193038
715504,0,186398
693776,0,180033
672503,0,173916
651727,0,168003
631509,0,162237
611923,0,156549
592922,0,150970
574422,0,145562
556384,0,140347
538781,0,135339
521596,0,130541
504820,0,125951
488459,0,121553
472525,0,117328
457045,0,113242
442052,0,109257
427580,0,105334
413568,0,101513
399969,0,97820
386757,0,94266
373912,0,90858
361418,0,87596
349268,0,84476
337461,0,81489
326001,0,78618
314901,0,75845
304179,0,73143
293850,0,70490
283871,0,67909
274212,0,65417
264853,0,63020
255777,0,60721
246972,0,58521
238430,0,56418
230148,0,54405
222124,0,52473
214363,0,50612
206872,0,48805
199662,0,47035
192719,0,45307
186013,0,43635
179529,0,42026
173253,0,40481
167177,0,39002
161292,0,37588
155593,0,36235
150077,0,34940
144743,0,33696
139594,0,32496
134634,0,31328
129868,0,30183
125279,0,29068
120850,0,27992
116573,0,26956
112438,0,25962
108438,0,25011
104568,0,24102
100825,0,23233
97205,0,22401
93708,0,21602
90335,0,20832
87088,0,20083
83969,0,19349
80971,0,18633
78080,0,17941
75290,0,17275
72596,0,16636
69991,0,16025
67474,0,15440
65040,0,14881
62687,0,14347
60415,0,13834
58223,0,13341
56112,0,12863
54085,0,12396
52139,0,11938
50265,0,11494
48459,0,11067
46716,0,10656
45032,0,10262
43405,0,9886
41833,0,9526
40313,0,9183
38846,0,8854
37430,0,8538
36065,0,8233
34753,0,7937
33494,0,7646
32285,0,7362
31120,0,7088
29997,0,6824
28913,0,6571
27866,0,6329
26855,0,6097
25878,0,5876
24934,0,5664
24023,0,5461
23144,0,5267
22298,0,5078
21485,0,4895
20705,0,4714
19956,0,4539
19234,0,4370
18538,0,4207
17867,0,4051
17218,0,3902
16591,0,3759
15986,0,3623
15401,0,3493
14837,0,3368
14293,0,3248
13770,0,3131
13268,0,3018
12786,0,2906
12322,0,2798
11876,0,2694
11445,0,2594
11030,0,2497
10629,0,2406
10241,0,2318
9867,0,2234
9505,0,2154
9157,0,2077
8821,0,2002
8498,0,1931
8187,0,1860
7890,0,1791
7604,0,1725
7328,0,1660
7062,0,1599
6805,0,1539
6557,0,1483
6318,0,1429
6087,0,1377
5864,0,1328
5648,0,1280
5441,0,1234
5241,0,1190
5050,0,1147
4867,0,1104
4690,0,1063
4520,0,1023
4356,0,985
4197,0,949
4044,0,914
3896,0,881
3754,0,849
3616,0,818
3483,0,789
3355,0,761
3232,0,733
3114,0,707
3001,0,680
2892,0,655
2787,0,631
2686,0,607
2588,0,585
2493,0,563
2402,0,543
2314,0,523
2229,0,504
2147,0,486
2068,0,469
1993,0,452
1920,0,435
1850,0,419
1783,0,404
1718,0,388
1656,0,374
1595,0,360
1537,0,347
1481,0,334
1427,0,322
1374,0,311
1324,0,300
1275,0,289
1228,0,278
1183,0,268
1140,0,258
1099,0,249
1059,0,239
1021,0,230
983,0,222
947,0,214
913,0,206
879,0,198
847,0,191
816,0,184
786,0,178
757,0,171
729,0,165
703,0,159
677,0,153
653,0,147
629,0,142
606,0,137
584,0,132
562,0,127
542,0,122
522,0,118
503,0,114
484,0,109
466,0,105
449,0,102
433,0,98
417,0,94
402,0,91
388,0,87
