(S) Susceptiveis, (E) Expostos, (I) Infectados, (R) Recuperados, (D_E) Expostos detectados, (D_I) Infectados detectados, (M) Mortes
2511591,46,397,26,0,0,8
2511531,93,379,57,0,0,8
2511473,129,371,87,0,0,8
2511416,159,369,117,0,0,8
2511358,183,372,147,0,0,8
2511300,204,379,177,0,0,8
2511241,222,389,208,0,0,8
2511180,239,401,239,0,0,8
2511117,255,416,272,0,0,8
2511051,270,432,306,0,0,8
2510983,285,450,341,0,0,8
2510912,300,469,378,0,0,8
2510838,315,490,417,0,0,8
2510761,331,512,457,0,0,8
2510681,346,535,498,0,0,8
2510596,363,559,542,0,0,8
2510508,380,584,588,0,0,8
2510416,398,611,635,0,0,8
2510320,416,639,685,0,0,8
2510220,435,668,737,0,0,8
2510115,455,698,791,0,0,8
2510005,477,730,848,0,0,8
2509890,499,764,908,0,0,8
2509770,521,799,970,0,0,8
2509644,545,836,1035,0,0,8
2509513,571,874,1103,0,0,8
2509375,597,914,1174,0,0,8
2509232,624,956,1248,0,0,8
2509082,653,1000,1326,0,0,8
2508925,682,1046,1407,0,0,8
2508760,714,1094,1492,0,0,8
2508589,747,1144,1581,0,0,8
2508409,781,1196,1674,0,0,8
2508221,817,1251,1771,0,0,8
2508025,855,1308,1872,0,0,8
2507820,894,1368,1979,0,0,8
2507605,935,1431,2089,0,0,8
2507381,977,1497,2205,0,0,8
2507146,1022,1566,2327,0,0,8
2506901,1068,1638,2454,0,0,8
2506644,1117,1713,2586,0,0,8
2506376,1167,1791,2725,0,0,8
2506096,1221,1873,2870,0,0,8
2505802,1277,1959,3022,0,0,8
2505495,1336,2048,3181,0,0,8
2505174,1398,2141,3347,0,0,8
2504839,1463,2238,3520,0,0,8
2504488,1530,2340,3702,0,0,8
2504121,1600,2447,3891,0,0,8
2503738,1672,2560,4089,0,0,8
2503338,1748,2678,4296,0,0,8
2502920,1826,2801,4513,0,0,8
2502483,1908,2930,4739,0,0,8
2502026,1994,3065,4976,0,0,8
2501547,2084,3205,5223,0,0,8
2501047,2179,3352,5482,0,0,8
2500524,2279,3503,5754,0,0,8
2499976,2385,3661,6037,0,0,8
2499404,2495,3827,6334,0,0,8
2498806,2610,4000,6643,0,0,8
2498182,2729,4182,6967,0,0,8
2497530,2852,4373,7305,0,0,8
2496848,2980,4573,7659,0,0,8
2496136,3113,4783,8028,0,0,8
2495392,3251,5003,8414,0,0,8
2494615,3396,5231,8818,0,0,8
2493801,3550,5469,9240,0,0,8
2492950,3712,5716,9682,0,0,8
2492060,3883,5973,10144,0,0,8
2491130,4062,6241,10627,0,0,8
2490159,4247,6521,11132,0,0,8
2489145,4439,6816,11660,0,0,8
2488086,4638,7125,12211,0,0,8
2486981,4844,7449,12786,0,0,8
2485826,5058,7789,13387,0,0,8
2484620,5280,8144,14015,0,0,8
2483360,5514,8514,14672,0,0,8
2482043,5759,8899,15359,0,0,8
2480666,6019,9297,16077,0,0,8
2479227,6294,9711,16829,0,0,8
2477724,6580,10142,17614,0,0,8
2476155,6878,10593,18434,0,0,8
2474517,7185,11067,19290,0,0,8
2472809,7503,11563,20184,0,0,8
2471027,7831,12084,21118,0,0,8
