(I) Infectados, (D_all) Detectados, (E) Expostos
397,0,46
379,0,93
371,0,129
369,0,159
372,0,183
379,0,204
389,0,222
401,0,239
416,0,255
432,0,270
450,0,285
469,0,300
490,0,315
512,0,331
535,0,346
559,0,363
584,0,380
611,0,398
639,0,416
668,0,435
698,0,455
730,0,477
764,0,499
799,0,521
836,0,545
874,0,571
914,0,597
956,0,624
1000,0,653
1046,0,682
1094,0,714
1144,0,747
1196,0,781
1251,0,817
1308,0,855
1368,0,894
1431,0,935
1497,0,977
1566,0,1022
1638,0,1068
1713,0,1117
1791,0,1167
1873,0,1221
1959,0,1277
2048,0,1336
2141,0,1398
2238,0,1463
2340,0,1530
2447,0,1600
2560,0,1672
2678,0,1748
2801,0,1826
2930,0,1908
3065,0,1994
3205,0,2084
3352,0,2179
3503,0,2279
3661,0,2385
3827,0,2495
4000,0,2610
4182,0,2729
4373,0,2852
4573,0,2980
4783,0,3113
5003,0,3251
5231,0,3396
5469,0,3550
5716,0,3712
5973,0,3883
6241,0,4062
6521,0,4247
6816,0,4439
7125,0,4638
7449,0,4844
7789,0,5058
8144,0,5280
8514,0,5514
8899,0,5759
9297,0,6019
9711,0,6294
10142,0,6580
10593,0,6878
11067,0,7185
11563,0,7503
12084,0,7831
12629,0,8171
13199,0,8524
13792,0,8893
14409,0,9281
15047,0,9691
15706,0,10125
16393,0,10579
17110,0,11049
17861,0,11535
18648,0,12034
19473,0,12548
20336,0,13079
21238,0,13628
22176,0,14200
23148,0,14799
24152,0,15432
25187,0,16102
26262,0,16802
27381,0,17525
28551,0,18270
29776,0,19033
31056,0,19815
32393,0,20619
33785,0,21448
35230,0,22309
36722,0,23209
38257,0,24158
39836,0,25156
41471,0,26191
43172,0,27256
44944,0,28344
46792,0,29454
48716,0,30587
50715,0,31746
52786,0,32938
54923,0,34171
57116,0,35459
59359,0,36812
61665,0,38215
64047,0,39652
66515,0,41115
69074,0,42597
71728,0,44095
74473,0,45612
77304,0,47155
80212,0,48735
83183,0,50367
86200,0,52067
89272,0,53826
92418,0,55618
95653,0,57424
98983,0,59231
102413,0,61033
105936,0,62830
109545,0,64630
113222,0,66445
116946,0,68294
120690,0,70202
124455,0,72162
128266,0,74133
132142,0,76089
136091,0,78009
140114,0,79884
144204,0,81712
148346,0,83499
152514,0,85262
156677,0,87026
160796,0,88822
164872,0,90633
168938,0,92412
173009,0,94126
177094,0,95753
181189,0,97284
185282,0,98717
189351,0,100063
193365,0,101341
197282,0,102582
201059,0,103820
204718,0,105014
208286,0,106122
211777,0,107117
215194,0,107981
218532,0,108710
221775,0,109306
224899,0,109787
227868,0,110177
230640,0,110512
233189,0,110811
235553,0,111024
237752,0,111123
239797,0,111092
241692,0,110924
243433,0,110618
245005,0,110185
246391,0,109644
247560,0,109021
248478,0,108353
249146,0,107640
249601,0,106845
249861,0,105956
249936,0,104967
249833,0,103875
249553,0,102686
249094,0,101410
248446,0,100061
247596,0,98662
246525,0,97238
245235,0,95798
243763,0,94313
242122,0,92783
240324,0,91208
238377,0,89589
236288,0,87932
234063,0,86240
231707,0,84522
229221,0,82786
226607,0,81042
223862,0,79303
221005,0,77563
218075,0,75798
215065,0,74023
211969,0,72255
208783,0,70506
205509,0,68786
202149,0,67099
198711,0,65449
195207,0,63834
191648,0,62251
188054,0,60691
184444,0,59145
180842,0,57597
177276,0,56030
173745,0,54452
170215,0,52899
166679,0,51381
163134,0,49908
159581,0,48482
156026,0,47102
152478,0,45767
148948,0,44467
145455,0,43192
142019,0,41926
138642,0,40670
135307,0,39442
132009,0,38249
128745,0,37093
125516,0,35978
122323,0,34901
119172,0,33860
116069,0,32851
113024,0,31866
110046,0,30897
107139,0,29941
104292,0,29009
101499,0,28105
98755,0,27232
96059,0,26392
93411,0,25585
90811,0,24810
88264,0,24064
85773,0,23340
83345,0,22633
80989,0,21936
78703,0,21248
76475,0,20579
74301,0,19932
72176,0,19308
70098,0,18710
68066,0,18136
66081,0,17586
64143,0,17057
62254,0,16546
60419,0,16048
58643,0,15559
56926,0,15076
55259,0,14605
53639,0,14150
52061,0,13711
50524,0,13289
49026,0,12884
47566,0,12495
46145,0,12122
44763,0,11763
43421,0,11414
42121,0,11074
40867,0,10739
39653,0,10410
38477,0,10092
37334,0,9784
36224,0,9488
35144,0,9203
34095,0,8928
33074,0,8665
32083,0,8412
31120,0,8167
30187,0,7930
29284,0,7699
28412,0,7472
27570,0,7250
26754,0,7034
25962,0,6825
25194,0,6623
24449,0,6429
23725,0,6242
23021,0,6062
22339,0,5889
21676,0,5722
21033,0,5560
20410,0,5404
19808,0,5251
19227,0,5100
18665,0,4953
18121,0,4811
17594,0,4673
17082,0,4539
16586,0,4410
16104,0,4285
15637,0,4166
15183,0,4050
14742,0,3938
14315,0,3831
13900,0,3727
13499,0,3625
13110,0,3526
12735,0,3430
12372,0,3335
12021,0,3242
11681,0,3152
11350,0,3065
11030,0,2981
10719,0,2900
10418,0,2822
10124,0,2746
9840,0,2673
9564,0,2603
9295,0,2535
9035,0,2468
8783,0,2404
8538,0,2342
8302,0,2281
8073,0,2221
7852,0,2162
7638,0,2104
7431,0,2048
7229,0,1994
7034,0,1942
6844,0,1891
6659,0,1842
6479,0,1795
6304,0,1750
6135,0,1706
5969,0,1664
5809,0,1623
5653,0,1583
5502,0,1545
5355,0,1507
5213,0,1470
5076,0,1433
4944,0,1397
4816,0,1362
4692,0,1327
4571,0,1294
4453,0,1261
4338,0,1230
4227,0,1200
4118,0,1172
4012,0,1144
3909,0,1117
3809,0,1091
3712,0,1065
3618,0,1040
3527,0,1015
3439,0,991
3353,0,967
3270,0,944
3189,0,921
3110,0,900
3034,0,879
2959,0,859
2886,0,839
2815,0,820
2746,0,801
2679,0,783
2614,0,765
2552,0,748
2490,0,731
2430,0,714
2372,0,698
2316,0,683
2261,0,668
2207,0,653
2156,0,638
2105,0,624
