(S) Susceptiveis, (E) Expostos, (I) Infectados, (R) Recuperados, (S) Re-Susceptiveis, (D_E) Expostos detectados, (D_I) Infectados detectados
9981,1,11,2,0,0,5
9975,4,13,3,0,0,5
9968,8,16,3,0,0,5
9963,10,17,5,0,0,5
9958,13,16,8,0,0,5
9955,12,17,10,0,0,6
9952,10,20,12,0,0,6
9944,17,20,13,0,0,6
9940,18,20,16,0,0,6
9934,22,20,18,0,0,6
9933,15,27,18,0,1,6
9931,13,27,21,0,2,6
9929,11,25,25,2,2,6
9927,12,20,30,2,2,7
9924,13,17,32,2,5,7
9921,14,17,35,1,5,7
9917,14,19,36,1,6,7
9914,12,22,37,1,7,7
9910,14,20,41,2,6,7
9905,16,21,43,2,6,7
9901,18,20,46,1,7,7
9895,21,22,47,1,7,7
9892,18,27,48,1,7,7
9890,17,23,49,3,11,7
9887,18,20,51,3,14,7
9886,15,19,54,4,15,7
9883,17,17,57,4,15,7
9880,16,20,58,3,16,7
9878,14,20,61,3,17,7
9875,15,18,64,4,17,7
9874,12,17,67,5,18,7
9871,14,15,69,4,20,7
9869,15,14,74,3,18,7
9865,15,16,76,4,17,7
9863,12,19,78,5,16,7
9859,15,19,81,4,15,7
9855,16,20,82,3,17,7
9851,18,20,86,3,15,7
9846,19,22,87,5,14,7
9842,19,24,89,6,13,7
9838,22,23,93,5,12,7
9834,21,26,94,6,12,7
9831,20,28,96,6,12,7
9828,20,28,99,5,13,7
9828,21,26,101,4,13,7
9826,22,26,102,3,14,7
9824,17,32,103,3,14,7
9822,19,27,107,1,17,7
9819,18,28,107,2,18,8
9816,19,25,112,3,17,8
9811,22,26,113,2,18,8
9810,17,31,116,2,16,8
9809,12,34,119,2,16,8
9806,12,33,121,2,18,8
9802,11,37,122,2,18,8
9797,14,39,124,1,17,8
9795,14,36,129,1,17,8
9793,13,37,132,1,16,8
9789,15,36,136,1,15,8
9784,21,34,137,1,15,8
9780,22,34,140,2,14,8
9778,17,40,141,2,14,8
9774,21,39,141,2,15,8
9771,19,41,143,4,14,8
9766,21,43,144,3,15,8
9763,21,43,146,2,17,8
9759,23,42,150,2,16,8
9755,22,46,151,2,16,8
9751,23,48,154,2,14,8
9746,26,47,156,2,15,8
9744,24,48,159,2,15,8
9737,30,48,161,2,14,8
9735,28,51,161,3,14,8
9733,27,51,164,1,16,8
9727,32,50,166,1,16,8
9725,31,50,167,3,16,8
9719,36,48,169,3,17,8
9719,33,49,171,3,17,8
9716,31,53,172,3,17,8
9713,32,50,176,3,18,8
9711,30,51,178,2,20,8
9709,30,48,181,2,22,8
9705,32,46,185,2,22,8
9700,34,47,187,3,21,8
9699,31,46,190,3,23,8
9698,27,47,191,4,25,8
9692,31,48,191,3,27,8
9688,33,49,194,3,25,8
9687,27,52,195,5,26,8
9682,31,50,199,5,25,8
9677,34,51,199,3,28,8
9673,35,51,202,3,28,8
9668,39,50,206,3,26,8
9665,39,51,209,3,24,9
9665,36,51,210,4,25,9
9662,36,54,213,3,23,9
9659,39,52,215,3,23,9
9655,40,53,218,3,22,9
9653,39,52,220,2,25,9
9651,35,54,221,5,25,9
9647,34,58,222,5,25,9
9642,37,58,225,5,24,9
9641,32,62,227,4,25,9
9633,40,61,229,4,24,9
9630,40,61,231,3,26,9
9625,43,61,232,2,28,9
9619,45,65,232,2,28,9
9615,44,70,233,2,27,9
9611,47,66,237,2,28,9
9609,44,65,240,5,28,9
9605,44,68,242,5,27,9
9603,41,72,244,5,26,9
9602,40,74,244,3,28,9
9599,40,73,246,3,30,9
9592,46,72,247,3,31,9
9587,48,73,248,3,32,9
9584,46,77,249,3,32,9
9575,55,77,250,3,31,9
9573,54,74,253,5,32,9
9569,55,73,254,6,34,9
9567,55,73,256,8,32,9
9566,52,73,260,8,32,9
9565,47,76,262,9,32,9
9562,47,75,265,9,33,9
9560,44,78,267,9,33,9
9553,51,75,270,9,33,9
9551,52,71,276,9,32,9
9546,54,72,278,10,31,9
9542,55,72,279,10,33,9
9539,58,67,283,10,34,9
9537,56,66,287,12,33,9
9533,59,64,289,11,35,9
9530,59,65,293,12,32,9
9527,61,63,298,12,30,9
9526,56,68,300,11,30,9
9525,53,68,302,10,33,9
9521,54,70,303,8,35,9
9519,52,72,306,8,34,9
9518,49,71,309,9,35,9
9515,49,72,311,8,36,9
9512,48,75,313,8,35,9
9506,52,76,314,8,35,9
9504,50,78,317,7,35,9
9501,50,76,321,8,35,9
9497,51,77,324,8,34,9
9494,52,76,327,8,34,9
9488,57,75,330,8,33,9
9487,54,75,332,8,35,9
9483,55,74,335,9,35,9
9479,54,78,335,9,36,9
9475,56,78,339,9,34,9
9470,58,79,341,10,33,9
9467,59,79,345,9,32,9
9463,61,79,348,8,32,9
9460,60,80,350,9,32,9
9456,60,81,352,10,32,9
9456,54,84,354,9,34,9
9453,53,84,356,11,34,9
9449,55,84,359,10,34,9
9447,55,81,363,10,35,9
9446,54,81,364,9,37,9
9445,50,83,366,8,39,9
9442,49,85,369,8,38,9
9436,54,85,371,8,37,9
9433,56,84,372,9,37,9
9430,58,82,375,7,39,9
9426,57,84,376,9,39,9
9424,55,84,379,9,40,9
9421,55,85,382,8,40,9
9420,51,86,382,8,44,9
9417,54,84,385,9,42,9
9413,57,81,386,9,45,9
9410,57,81,389,9,45,9
9407,56,83,391,9,45,9
9407,56,78,393,9,48,9
9403,57,78,396,11,46,9
9404,53,78,398,10,48,9
9402,51,80,401,9,48,9
9397,54,81,402,7,50,9
9392,59,79,405,6,50,9
9388,59,81,406,7,50,9
9384,59,83,408,8,49,9
9384,57,79,414,8,49,9
9382,56,78,417,8,50,9
9378,56,80,419,8,50,9
9374,58,80,423,8,48,9
9376,53,82,423,8,49,9
9371,54,85,424,8,49,9
9368,56,85,425,7,50,9
9364,58,86,429,7,47,9
9361,59,87,430,7,47,9
9358,58,88,432,7,48,9
9352,61,91,433,7,47,9
9349,60,91,436,8,47,9
9348,57,91,439,8,48,9
9347,54,92,441,6,51,9
9345,52,94,444,6,50,9
