(I) Infectados, (D_all) Detectados, (E) Expostos
11,0,1
13,0,4
16,0,8
17,0,10
16,0,13
17,0,12
20,0,10
20,0,17
20,0,18
20,0,22
27,1,15
27,2,13
25,4,11
20,4,12
17,7,13
17,6,14
19,7,14
22,8,12
20,8,14
21,8,16
20,8,18
22,8,21
27,8,18
23,14,17
20,17,18
19,19,15
17,19,17
20,19,16
20,20,14
18,21,15
17,23,12
15,24,14
14,21,15
16,21,15
19,21,12
19,19,15
20,20,16
20,18,18
22,19,19
24,19,19
23,17,22
26,18,21
28,18,20
28,18,20
26,17,21
26,17,22
32,17,17
27,18,19
28,20,18
25,20,19
26,20,22
31,18,17
34,18,12
33,20,12
37,20,11
39,18,14
36,18,14
37,17,13
36,16,15
34,16,21
34,16,22
40,16,17
39,17,21
41,18,19
43,18,21
43,19,21
42,18,23
46,18,22
48,16,23
47,17,26
48,17,24
48,16,30
51,17,28
51,17,27
50,17,32
50,19,31
48,20,36
49,20,33
53,20,31
50,21,32
51,22,30
48,24,30
46,24,32
47,24,34
46,26,31
47,29,27
48,30,31
49,28,33
52,31,27
50,30,31
51,31,34
51,31,35
50,29,39
51,27,39
51,29,36
54,26,36
52,26,39
53,25,40
52,27,39
54,30,35
58,30,34
58,29,37
62,29,32
61,28,40
61,29,40
61,30,43
65,30,45
70,29,44
66,30,47
65,33,44
68,32,44
72,31,41
74,31,40
73,33,40
72,34,46
73,35,48
77,35,46
77,34,55
74,37,54
73,40,55
73,40,55
73,40,52
76,41,47
75,42,47
78,42,44
75,42,51
71,41,52
72,41,54
72,43,55
67,44,58
66,45,56
64,46,59
65,44,59
63,42,61
68,41,56
68,43,53
70,43,54
72,42,52
71,44,49
72,44,49
75,43,48
76,43,52
78,42,50
76,43,50
77,42,51
76,42,52
75,41,57
75,43,54
74,44,55
78,45,54
78,43,56
79,43,58
79,41,59
79,40,61
80,41,60
81,42,60
84,43,54
84,45,53
84,44,55
81,45,55
81,46,54
83,47,50
85,46,49
85,45,54
84,46,56
82,46,58
84,48,57
84,49,55
85,48,55
86,52,51
84,51,54
81,54,57
81,54,57
