(S) Suscetiveis, (M) Mortes, (D_E) Expostos detectados, (D_I) Infectados detectados, (R) Recuperados, (I) Infectados, (E) Expostos
1409,48,0,0,2,67,47
1398,48,0,0,5,101,88
1385,48,0,0,9,113,84
1371,48,0,0,14,124,83
1356,48,0,0,19,134,82
1340,48,0,0,24,144,83
1323,48,0,0,30,154,84
1306,48,0,0,36,164,86
1288,49,0,0,42,173,88
1269,49,0,0,48,183,91
1249,49,0,0,54,193,94
1229,49,0,0,61,203,97
1208,49,0,0,68,213,100
1187,50,0,0,76,224,104
1165,50,0,0,83,234,107
1143,50,0,0,91,245,111
1120,50,0,0,99,256,114
1097,51,0,0,107,267,117
1074,51,0,0,116,278,120
1051,51,0,0,125,290,123
1027,51,0,0,134,301,126
1003,52,0,0,143,313,129
979,52,0,0,153,324,132
954,52,0,0,163,336,134
930,53,0,0,173,347,136
906,53,0,0,183,359,138
882,53,0,0,193,370,140
858,54,0,0,204,381,142
834,54,0,0,215,392,144
811,55,0,0,226,403,145
788,55,0,0,237,414,146
765,55,0,0,249,424,146
743,56,0,0,260,434,146
721,56,0,0,272,444,146
700,57,0,0,284,453,146
679,57,0,0,295,461,146
659,58,0,0,307,470,146
640,58,0,0,319,477,145
621,59,0,0,331,485,144
603,59,0,0,343,491,143
456,59,0,0,354,497,139
443,60,0,0,366,502,134
431,60,0,0,377,506,130
420,61,0,0,389,509,126
409,61,0,0,400,511,123
399,62,0,0,411,513,119
390,63,0,0,422,514,116
381,63,0,0,433,514,113
374,64,0,0,444,514,111
366,64,0,0,454,513,108
360,65,0,0,464,512,106
354,65,0,0,473,510,103
348,66,0,0,483,508,101
343,66,0,0,492,506,99
339,67,0,0,500,503,96
335,67,0,0,508,500,95
332,68,0,0,516,497,93
329,68,0,0,524,493,91
326,69,0,0,531,490,89
324,69,0,0,538,486,88
323,70,0,0,545,482,86
321,70,0,0,551,478,85
320,70,0,0,557,474,83
319,71,0,0,563,470,82
319,71,0,0,568,466,81
319,72,0,0,573,461,80
319,72,0,0,578,457,79
319,73,0,0,583,453,78
320,73,0,0,587,448,77
320,74,0,0,591,444,76
321,74,0,0,594,440,75
323,75,0,0,598,436,75
324,75,0,0,601,432,74
325,75,0,0,604,428,73
327,76,0,0,606,424,73
328,76,0,0,608,420,72
330,77,0,0,610,416,72
332,77,0,0,612,412,71
334,77,0,0,614,409,71
336,78,0,0,616,405,71
338,78,0,0,617,401,70
340,79,0,0,618,398,70
342,79,0,0,620,395,70
344,79,0,0,620,391,70
347,80,0,0,621,388,69
349,80,0,0,622,385,69
351,81,0,0,622,382,69
354,81,0,0,622,379,69
356,81,0,0,623,376,69
358,82,0,0,623,374,69
361,82,0,0,623,371,68
363,82,0,0,622,369,68
366,83,0,0,622,366,68
368,83,0,0,622,364,68
370,84,0,0,621,361,68
373,84,0,0,621,359,68
375,84,0,0,620,357,68
377,85,0,0,620,355,68
380,85,0,0,619,353,68
382,85,0,0,618,351,68
384,86,0,0,617,350,68
386,86,0,0,617,348,68
388,86,0,0,616,347,68
390,87,0,0,615,345,68
392,87,0,0,614,344,68
394,87,0,0,613,342,68
396,88,0,0,612,341,69
398,88,0,0,611,340,69
400,88,0,0,609,339,69
402,89,0,0,608,337,69
404,89,0,0,607,336,69
405,89,0,0,606,335,69
407,90,0,0,605,334,69
409,90,0,0,604,333,69
410,90,0,0,603,333,69
412,91,0,0,601,332,70
413,91,0,0,600,331,70
415,91,0,0,599,331,70
416,92,0,0,598,330,70
417,92,0,0,597,330,70
418,92,0,0,595,329,70
420,93,0,0,594,329,70
421,93,0,0,593,328,70
422,93,0,0,592,328,70
423,94,0,0,591,327,70
424,94,0,0,590,327,70
