ibgeID,city,totalCases,deaths
1500107,Abaetetuba/PA,6,0
3100203,Abaeté/MG,1,0
2900108,Abaíra/BA,1,0
2600054,Abreu e Lima/PE,31,1
2900306,Acajutiba/BA,1,0
2300150,Acarape/CE,4,1
2300200,Acaraú/CE,1,1
2400109,Acari/RN,1,0
1500206,Acará/PA,1,0
2300309,Acopiara/CE,3,0
1200013,Acrelândia/AC,12,0
3500105,Adamantina/SP,1,0
2900355,Adustina/BA,1,1
3200102,Afonso Cláudio/ES,2,0
1500305,Afuá/PA,1,0
3500709,Agudos/SP,7,1
2900603,Aiquara/BA,1,0
4300208,Ajuricaba/RS,1,0
2500403,Alagoa Nova/PB,1,0
2600609,Alagoinha/PE,1,0
2900702,Alagoinhas/BA,7,0
3500758,Alambari/SP,1,0
5000252,Alcinópolis/MS,1,0
2100204,Alcântara/MA,1,0
2300507,Alcântaras/CE,1,0
3200201,Alegre/ES,1,0
4300406,Alegrete/RS,1,0
2400505,Alexandria/RN,1,0
3101607,Alfenas/MG,2,0
3200300,Alfredo Chaves/ES,14,0
2600708,Aliança/PE,5,1
3101706,Almenara/MG,2,0
4100400,Almirante Tamandaré/PR,6,0
5200506,Aloândia/GO,1,0
3101805,Alpercata/MG,1,0
5100250,Alta Floresta/MT,1,0
2100402,Altamira do Maranhão/MA,1,0
1500602,Altamira/PA,6,0
2600807,Altinho/PE,1,0
1400050,Alto Alegre/RR,2,1
4100608,Alto Paraná/PR,3,0
1100403,Alto Paraíso/RO,1,0
3200359,Alto Rio Novo/ES,0,0
2400703,Alto do Rodrigues/RN,1,0
2200400,Altos/PI,1,0
4300604,Alvorada/RS,8,1
4100905,Amaporã/PR,6,0
2600906,Amaraji/PE,2,1
3501608,Americana/SP,25,3
2300754,Amontada/CE,1,0
3501905,Amparo/SP,5,0
2901106,Amélia Rodrigues/BA,1,0
3501707,Américo Brasiliense/SP,5,0
2100709,Anajatuba/MA,4,1
1300086,Anamã/AM,1,0
1500800,Ananindeua/PA,120,1
3200409,Anchieta/ES,7,0
3502101,Andradina/SP,3,0
3502200,Angatuba/SP,1,1
2200608,Angical do Piauí/PI,1,0
3300100,Angra dos Reis/RJ,9,0
5201207,Anhanguera/GO,1,0
4201000,Anita Garibaldi/SC,1,0
1300102,Anori/AM,8,0
4300703,Anta Gorda/RS,2,0
4201208,Antônio Carlos/SC,11,3
5201108,Anápolis/GO,35,0
5201405,Aparecida de Goiânia/GO,15,1
3502507,Aparecida/SP,1,0
3200508,Apiacá/ES,3,0
3502705,Apiaí/SP,1,0
2401008,Apodi/RN,7,1
4101408,Apucarana/PR,12,2
2301000,Aquiraz/CE,39,0
4201273,Arabutã/SC,5,0
2800308,Aracaju/SE,74,5
2301109,Aracati/CE,8,1
2902104,Araci/BA,1,1
2301208,Aracoiaba/CE,3,0
3200607,Aracruz/ES,10,0
5201801,Aragoiânia/GO,1,0
3103504,Araguari/MG,7,0
1702109,Araguaína/TO,7,0
3503109,Arandu/SP,7,0
2700300,Arapiraca/AL,3,0
4101507,Arapongas/PR,13,1
