"cod_mun";"pop_tcu";"pop_ans";"pop_sus"
110001;22945;1386;21559
110002;107863;7345;100518
110003;5312;174;5138
110004;85359;8313;77046
110005;16323;729;15594
110006;15882;1137;14745
110007;7391;90;7301
110008;18331;220;18111
110009;32374;1328;31046
110010;46174;2106;44068
110011;51775;2730;49045
110012;128969;13912;115057
110013;39991;612;39379
110014;20474;411;20063
110015;36035;2794;33241
110018;36660;3369;33291
110020;529544;81512;448032
110025;18986;1177;17809
110026;3764;68;3696
110028;55058;2842;52216
110029;6495;204;6291
110030;99854;10742;89112
110032;23005;510;22495
110033;30583;331;30252
110034;14411;570;13841
110037;13241;120;13121
110040;21428;256;21172
110045;39654;721;38933
110050;8538;135;8403
110060;6230;112;6118
110070;14139;70;14069
110080;26693;540;26153
110090;3052;44;3008
110092;11182;161;11021
110094;25215;160;25055
110100;7767;58;7709
110110;10458;417;10041
110120;9660;163;9497
110130;10947;206;10741
110140;15852;173;15679
110143;6970;56;6914
110145;6074;48;6026
110146;2169;28;2141
110147;2856;102;2754
110148;5172;157;5015
110149;20266;234;20032
110150;11856;173;11683
110155;4308;90;4218
110160;10444;110;10334
110170;11467;271;11196
110175;11204;72;11132
110180;6825;88;6737
120001;15256;176;15080
120005;7417;63;7354
120010;26278;247;26031
120013;10266;126;10140
120017;11733;40;11693
120020;88376;1165;87211
120025;18411;194;18217
120030;34780;220;34560
120032;8317;15;8302
120033;18977;34;18943
120034;9459;37;9422
120035;18867;20;18847
120038;19761;133;19628
120039;11982;12;11970
120040;407319;38762;368557
120042;18930;20;18910
120043;6540;20;6520
120045;23024;327;22697
120050;45848;287;45561
120060;42567;283;42284
120070;19323;171;19152
120080;18504;85;18419
130002;16041;58;15983
130006;11536;25;11511
130008;13614;57;13557
130010;21010;35;20975
130014;21973;85;21888
130020;19921;35;19886
130030;39565;96;39469
130040;27502;66;27436
130050;32041;22;32019
130060;42984;140;42844
130063;19679;64;19615
130068;19207;30;19177
130070;34308;120;34188
130080;41161;92;41069
130083;13081;57;13024
130090;15629;67;15562
130100;28294;275;28019
130110;37869;103;37766
130115;30225;30;30195
130120;85097;490;84607
130130;28637;133;28504
130140;35273;123;35150
130150;20033;46;19987
130160;17609;65;17544
130165;16678;13;16665
130170;55080;653;54427
130180;29689;64;29625
130185;48296;657;47639
130190;101337;2786;98551
130195;7851;11;7840
130200;9148;57;9091
130210;2755;45;2710
130220;14712;29;14683
130230;14317;66;14251
130240;46069;170;45899
130250;97377;663;96714
130255;32105;63;32042
130260;2182763;511680;1671083
130270;55751;111;55640
130280;18224;24;18200
130290;63905;369;63536
130300;21173;25;21148
130310;37378;58;37320
130320;19454;93;19361
130330;25644;62;25582
130340;114273;679;113594
130350;19426;38;19388
130353;36279;756;35523
130356;33347;172;33175
130360;25156;16;25140
130370;21602;35;21567
130380;45564;172;45392
130390;39299;100;39199
130395;14020;10;14010
130400;9171;25;9146
130406;65844;345;65499
130410;17156;32;17124
130420;59849;686;59163
130423;18755;43;18712
130426;13540;46;13494
130430;16256;86;16170
130440;23065;24;23041
140002;12796;44;12752
140005;15510;18;15492
140070;9309;4654;4655
140010;399213;27659;371554
140015;12409;30;12379
140017;18335;75;18260
140020;21926;125;21801
